kullanicilar;markalar;fiyatlar;bedenler;kategori;begeniler;yorumlar
sibelsbll;Adidas;5.0;S / 36;Niþanlýk;0.0;0.0
sutanesii;Essence;5.0;S / 36;Mezuniyet;0.0;0.0
sibelsbll;Tasarým Ürünü;5.0;S / 36;Niþan Elbisesi;0.0;0.0
Didemaydo;Butik Ürünü;5.0;M / 38;Niþan Elbisesi;1.0;0.0
cruzer619322;1000 Hour;5.0;S / 36;Kokteyl Parti;0.0;0.0
asliimal;Markasýz Ürün;5.0;S / 36;Tuvalet;0.0;0.0
derindalismalzemeleri;Calvin Klein;5.0;XXL / 44;Mezuniyet;0.0;0.0
derindalismalzemeleri;Calvin Klein;5.0;XXL / 44;Mezuniyet;0.0;0.0
BUTIKKAAM;Markasýz Ürün;5.0;M / 38;Kokteyl Parti;1.0;0.0
periclkn;Modalu;5.0;L / 40;Mezuniyet;0.0;0.0
sibelsbll;Adidas;5.0;M / 38;Niþan Elbisesi;0.0;0.0
sibelsbll;Adidas;5.0;M / 38;Niþanlýk;0.0;0.0
Ucuzgiyim67;Diðer;5.0;M / 38;Uzun Abiye & Tuvalet;1.0;0.0
enuygunfiyatlarr;Zara;5.0;L / 40;Kýna Elbisesi;0.0;0.0
Asilbilge;Zara;5.0;M / 38;Kýna Elbisesi;0.0;0.0
fatmaydigaliba;Nova Bella;5.0;S / 36;Mini;0.0;0.0
sibelsbll;Adidas;5.0;M / 38;Niþanlýk;0.0;0.0
sibelsbll;Adidas;5.0;S / 36;Niþan Elbisesi;0.0;0.0
cruzer619322;Tasarým Ürünü;5.0;M / 38;Mezuniyet;0.0;0.0
mickeycruz;Markasýz Ürün;5.0;S / 36;Kokteyl Parti;3.0;2.0
mickeycruz;Markasýz Ürün;5.0;L / 40;Tuvalet;3.0;2.0
mickeycruz;Markasýz Ürün;5.0;M / 38;Mini;0.0;0.0
sibelsbll;Adidas;5.0;M / 38;Niþanlýk;1.0;0.0
feyza43552;Diðer;5.0;S / 36;Mini;1.0;0.0
sibelsbll;Adidas;5.0;S / 36;Niþan Elbisesi;3.0;1.0
sibelsbll;Adidas;5.0;S / 36;Niþanlýk;0.0;0.0
sibelsbll;Adidas;5.0;S / 36;Niþan Elbisesi;0.0;0.0
